store_id,state_abb,state_name,nj,chain_name,market,company_owned,affected_pct,period,post,nj_after,min_wage,fte_employment,starting_wage,hours_open,soda_price,fries_price,entree_price,registers,registers_11am
10,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,Before,0,0,4.25,29,4.25,16,1.04,0.85,0.85,3,3
10,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,After,1,1,5.05,26.5,5.05,16,0.94,0.87,0.94,3,2
11,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,Before,0,0,4.25,29,4.25,16,1.09,0.89,0.91,3,3
11,NJ,New Jersey,1,Burger King,Central NJ,0,0.8,After,1,1,5.05,27,5.05,16,1.05,0.87,0.94,3,2
12,NJ,New Jersey,1,Burger King,Central NJ,0,1,Before,0,0,4.25,21.25,4.37,16,1.05,0.79,0.91,3,3
12,NJ,New Jersey,1,Burger King,Central NJ,0,1,After,1,1,5.05,26.5,5.05,16,1.01,0.92,0.94,3,2
13,NJ,New Jersey,1,KFC,Central NJ,0,1,Before,0,0,4.25,15.5,4.5,10,1.06,0.95,2.66,5,4
13,NJ,New Jersey,1,KFC,Central NJ,0,1,After,1,1,5.05,10.5,5,11,1.01,0.94,2.75,4,3
14,NJ,New Jersey,1,KFC,Central NJ,0,0,Before,0,0,4.25,16,5.12,11,1.06,0.85,2.49,6,5
14,NJ,New Jersey,1,KFC,Central NJ,0,0,After,1,1,5.05,15.5,5.05,11,1.05,0.94,2.6,6,3
15,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.95,Before,0,0,4.25,19.5,4.6,17,1.02,0.98,0.95,5,4
15,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.95,After,1,1,5.05,18,5.05,17,1.05,1.01,2,3,3
16,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,Before,0,0,4.25,21,4.5,17,1,1,,5,5
16,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,After,1,1,5.05,18.5,5.05,17,1.05,1.01,0.94,5,5
17,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.6,Before,0,0,4.25,14,4.37,17,1.06,1,2.02,6,5
17,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.6,After,1,1,5.05,25.5,5.05,17,1.05,0.94,0.95,6,5
18,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,Before,0,0,4.25,30.5,4.25,17,,,,4,4
18,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.5,After,1,1,5.05,32,5.05,17,1.05,1,0.63,7,7
19,NJ,New Jersey,1,Burger King,Southern NJ,0,0.5,Before,0,0,4.25,23.5,4.25,16,1.05,0.91,0.93,3,3
19,NJ,New Jersey,1,Burger King,Southern NJ,0,0.5,After,1,1,5.05,33,5.05,16,1.04,0.93,0.95,2,2
21,NJ,New Jersey,1,KFC,Southern NJ,0,0.9,Before,0,0,4.25,14,4.45,10.5,1.06,0.8,2.13,3,3
21,NJ,New Jersey,1,KFC,Southern NJ,0,0.9,After,1,1,5.05,7.5,5.05,10,0.94,0.94,2.43,3,3
22,NJ,New Jersey,1,Roy Rogers,Southern NJ,0,0.9,Before,0,0,4.25,14.5,4.35,16,1.06,0.84,0.95,4,1
22,NJ,New Jersey,1,Roy Rogers,Southern NJ,0,0.9,After,1,1,5.05,12.5,5.05,15,1.05,1.05,0.94,4,4
23,NJ,New Jersey,1,Burger King,Northern NJ,0,0.75,Before,0,0,4.25,15.5,4.5,16,1.06,0.95,0.95,3,2
23,NJ,New Jersey,1,Burger King,Northern NJ,0,0.75,After,1,1,5.05,24,5.05,16.5,1.05,0.94,0.94,3,2
24,NJ,New Jersey,1,Burger King,Central NJ,0,0.4,Before,0,0,4.25,26.5,4.75,16,1.06,0.95,1.01,4,3
24,NJ,New Jersey,1,Burger King,Central NJ,0,0.4,After,1,1,5.05,29,5.05,,1.05,0.94,1,4,3
26,NJ,New Jersey,1,Burger King,Northern NJ,0,,Before,0,0,4.25,41.5,5.56,16,1.06,0.91,0.98,4,2
26,NJ,New Jersey,1,Burger King,Northern NJ,0,,After,1,1,5.05,24,5.05,16,1.01,0.94,0.94,5,4
27,NJ,New Jersey,1,KFC,Central NJ,1,0,Before,0,0,4.25,13,5,10,1.06,0.85,2.34,4,3
27,NJ,New Jersey,1,KFC,Central NJ,1,0,After,1,1,5.05,7.5,5.05,10,1.05,0.84,2.53,4,3
28,NJ,New Jersey,1,KFC,Northern NJ,0,0.1,Before,0,0,4.25,8,4.5,10,1.06,1.17,2.56,2,1
28,NJ,New Jersey,1,KFC,Northern NJ,0,0.1,After,1,1,5.05,10,,10,,1.05,2.64,3,2
29,NJ,New Jersey,1,KFC,Northern NJ,0,,Before,0,0,4.25,5.5,4.5,11,1.06,1.01,2.56,3,2
29,NJ,New Jersey,1,KFC,Northern NJ,0,,After,1,1,5.05,9.5,5.05,11,1.05,1.05,2.64,3,3
30,NJ,New Jersey,1,KFC,Northern NJ,0,0,Before,0,0,4.25,10,5,10,1.06,1.06,2.53,2,2
30,NJ,New Jersey,1,KFC,Northern NJ,0,0,After,1,1,5.05,7.5,5.05,10,0.94,0.92,2.69,2,2
31,NJ,New Jersey,1,KFC,Central NJ,0,0,Before,0,0,4.25,15,5.25,11,1.03,1.06,2.56,4,3
31,NJ,New Jersey,1,KFC,Central NJ,0,0,After,1,1,5.05,18.5,5.05,12.5,1,1.05,2.64,4,4
32,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.4,Before,0,0,4.25,23.25,4.5,11.5,1.12,1.02,1.06,4,3
32,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.4,After,1,1,5.05,17.5,5.05,11.5,1.22,1.11,2.28,4,4
33,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.07,Before,0,0,4.25,26,5,17,1.02,1.07,0.95,5,4
33,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.07,After,1,1,5.05,16.5,5.05,17,1.11,1.06,1.05,4,2
34,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.75,Before,0,0,4.25,15.5,4.95,11.5,1.12,1.02,1.06,5,3
34,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.75,After,1,1,5.05,17.5,5.05,11.5,1.22,1.11,0.73,5,2
35,NJ,New Jersey,1,Wendy's,Northern NJ,0,,Before,0,0,4.25,32.25,4.5,11.5,0.96,0.95,2.13,2,2
35,NJ,New Jersey,1,Wendy's,Northern NJ,0,,After,1,1,5.05,25,5.05,11.5,1.03,,,2,2
36,NJ,New Jersey,1,Wendy's,Central NJ,0,0,Before,0,0,4.25,18,5.5,13,1.02,0.91,2.57,2,2
36,NJ,New Jersey,1,Wendy's,Central NJ,0,0,After,1,1,5.05,33.5,5.05,12.5,0.95,0.89,1.19,2,2
37,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.33,Before,0,0,4.25,32.5,4.25,16.5,0.98,0.84,0.84,5,3
37,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.33,After,1,0,4.25,25.5,4.25,16.5,0.98,0.84,0.86,6,3
38,NJ,New Jersey,1,Burger King,Central NJ,0,1,Before,0,0,4.25,30,4.25,17,1.05,0.95,0.98,3,2
38,NJ,New Jersey,1,Burger King,Central NJ,0,1,After,1,1,5.05,26,5.05,17.5,0.98,0.82,0.76,3,2
39,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,Before,0,0,4.25,19,4.25,17.5,1.03,0.73,0.52,4,2
39,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,After,1,0,4.25,15.5,,16.5,1.05,,0.63,4,2
40,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,Before,0,0,4.25,27,4.25,16.5,0.98,0.82,0.8,3,3
40,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,After,1,0,4.25,25.5,4.25,17.5,0.98,0.82,0.87,3,2
41,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,Before,0,0,4.25,19.5,4.25,16.5,0.98,0.82,0.85,3,3
41,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,After,1,0,4.25,27,4.25,17.5,0.94,0.78,0.91,3,2
42,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,Before,0,0,4.25,24,4.5,16.5,0.98,0.83,0.86,3,3
42,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,1,After,1,0,4.25,16,4.25,16.5,0.94,,,3,2
45,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.25,Before,0,0,4.25,18,4.25,16,0.98,0.83,0.86,3,3
45,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.25,After,1,0,4.25,19,4.25,17.5,0.98,0.75,0.86,3,3
46,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,,Before,0,0,4.25,40.5,,16.5,1.03,1.03,0.52,3,3
46,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,,After,1,0,4.25,24,4.3,16.5,1.03,,0.94,4,4
48,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.31,Before,0,0,4.25,19,4.25,14,1.01,0.84,0.63,4,3
48,PA,Pennsylvania,0,Burger King,PA: Philadelphia suburbs,0,0.31,After,1,0,4.25,25,4.38,14,0.98,0.79,0.87,4,3
49,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,,Before,0,0,4.25,13.75,,13,1.01,0.9,2.35,4,3
49,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,,After,1,0,4.25,11.5,4.45,13,1.01,0.89,2.35,4,4
50,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,0.2,Before,0,0,4.25,14,4.5,12,1.01,0.89,3.5,4,3
50,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,0.2,After,1,0,4.25,17,4.75,13,1.01,0.89,2.35,4,3
51,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,1,Before,0,0,4.25,10.5,4.25,13,1.01,0.89,2.35,4,3
51,PA,Pennsylvania,0,KFC,PA: Philadelphia suburbs,0,1,After,1,0,4.25,16.5,4.25,13,1,0.89,2.35,5,3
56,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0,Before,0,0,4.25,34,5,12,0.87,0.82,1.79,2,2
56,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0,After,1,0,4.25,20,5.25,12,0.92,0.79,0.87,2,2
57,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0.7,Before,0,0,4.25,38,4.67,12,0.87,0.79,0.9,2,2
57,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0.7,After,1,0,4.25,20,4.5,12,1.01,0.78,0.9,2,2
58,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0.8,Before,0,0,4.25,23.5,4.75,12,0.87,0.77,1.01,2,2
58,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0.8,After,1,0,4.25,18,4.5,12,1.04,0.84,0.94,2,2
59,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,0,0.9,Before,0,0,4.25,10.5,4.25,10.5,0.91,0.89,0.81,2,2
59,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,0,0.9,After,1,0,4.25,12,4.25,10.5,1.01,0.84,0.86,2,2
60,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,0,0.75,Before,0,0,4.25,25,4.25,11.5,0.94,0.74,0.86,2,2
60,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,0,0.75,After,1,0,4.25,25,4.25,12,0.98,0.84,0.86,2,2
61,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0,Before,0,0,4.25,24,5.5,12,0.87,0.77,1.65,2,2
61,PA,Pennsylvania,0,Wendy's,PA: Philadelphia suburbs,1,0,After,1,0,4.25,35.5,4.75,12,1.01,0.84,0.95,2,2
64,NJ,New Jersey,1,Burger King,Northern NJ,0,0.6,Before,0,0,4.25,30.5,4.5,16,1.06,0.95,0.95,3,2
64,NJ,New Jersey,1,Burger King,Northern NJ,0,0.6,After,1,1,5.05,22.5,5.05,16,1.05,0.95,0.95,3,3
66,NJ,New Jersey,1,Burger King,Northern NJ,0,0.2,Before,0,0,4.25,27,4.25,17,1.06,0.95,0.95,3,2
66,NJ,New Jersey,1,Burger King,Northern NJ,0,0.2,After,1,1,5.05,35,5.05,17,1.05,0.95,0.95,3,3
67,NJ,New Jersey,1,Burger King,Northern NJ,0,0.55,Before,0,0,4.25,18.5,4.5,13.5,1.17,1.06,1.17,3,2
67,NJ,New Jersey,1,Burger King,Northern NJ,0,0.55,After,1,1,5.05,17.75,5.05,13.5,1.32,1.05,1.22,3,3
68,NJ,New Jersey,1,Burger King,Northern NJ,0,,Before,0,0,4.25,38,4.25,17,1.07,1.02,1.02,3,3
68,NJ,New Jersey,1,Burger King,Northern NJ,0,,After,1,1,5.05,24.5,5.05,17,1.05,0.95,0.95,3,1
69,NJ,New Jersey,1,Burger King,Northern NJ,0,1,Before,0,0,4.25,16.5,4.25,18,1.17,0.95,0.95,4,2
69,NJ,New Jersey,1,Burger King,Northern NJ,0,1,After,1,1,5.05,16.5,5.05,18,1.26,1.01,1,4,2
70,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,Before,0,0,4.25,50,4.5,16,1.06,0.95,1.02,3,3
70,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,After,1,1,5.05,30,5.05,16,1.05,0.95,1.01,3,3
71,NJ,New Jersey,1,Burger King,Northern NJ,0,1,Before,0,0,4.25,20.5,4.75,17,1.06,0.95,0.95,3,2
71,NJ,New Jersey,1,Burger King,Northern NJ,0,1,After,1,1,5.05,39,5.05,17,1.05,0.95,0.95,3,2
73,NJ,New Jersey,1,KFC,Northern NJ,0,0.4,Before,0,0,4.25,6.5,4.25,12,1.06,1.06,2.45,3,2
73,NJ,New Jersey,1,KFC,Northern NJ,0,0.4,After,1,1,5.05,17,5.05,11,1.05,1.05,2.43,3,
75,NJ,New Jersey,1,KFC,Northern NJ,0,0,Before,0,0,4.25,13.5,4.25,11,1.17,1.27,2.77,3,3
75,NJ,New Jersey,1,KFC,Northern NJ,0,0,After,1,1,5.05,12.5,5.05,11,1.16,1.16,2.75,3,3
76,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.5,Before,0,0,4.25,28,4.25,17,1.12,1.02,1.02,6,3
76,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.5,After,1,1,5.05,38.5,5.05,16.5,1.11,1.06,1.05,6,3
77,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,1,Before,0,0,4.25,35,5,19,1.18,1.07,1.17,6,5
77,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,1,After,1,1,5.05,37,5.05,19,1.06,1.06,1.05,6,2
78,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0,Before,0,0,4.25,21,5,17,1.12,1.02,1.02,4,2
78,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0,After,1,1,5.05,18,5.05,16,1.11,1.01,1.05,5,3
79,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.3,Before,0,0,4.25,21.5,4.5,17,1.17,1.02,1.06,5,4
79,NJ,New Jersey,1,Roy Rogers,Northern NJ,1,0.3,After,1,1,5.05,20,5.05,16,1.11,1.06,1.05,5,4
81,NJ,New Jersey,1,Wendy's,Northern NJ,0,0.95,Before,0,0,4.25,34.5,5,12,1.06,0.98,1.06,2,2
81,NJ,New Jersey,1,Wendy's,Northern NJ,0,0.95,After,1,1,5.05,26.5,5.05,11.5,1.11,0.98,2.07,2,1
82,NJ,New Jersey,1,Wendy's,Northern NJ,0,0,Before,0,0,4.25,18.25,5,13.5,1.06,1.03,1.06,2,2
82,NJ,New Jersey,1,Wendy's,Northern NJ,0,0,After,1,1,5.05,33,5.05,13.5,1.11,0.98,1.05,2,2
84,NJ,New Jersey,1,Burger King,Central NJ,0,0.5,Before,0,0,4.25,24,4.5,16,1.04,0.85,0.91,4,2
84,NJ,New Jersey,1,Burger King,Central NJ,0,0.5,After,1,1,5.05,32,5.05,16,1.05,0.9,0.94,3,3
85,NJ,New Jersey,1,Burger King,Central NJ,0,0.01,Before,0,0,4.25,20,5.5,12.5,1.12,1.02,1.02,5,4
85,NJ,New Jersey,1,Burger King,Central NJ,0,0.01,After,1,1,5.05,20.5,5.05,12.5,1.11,1.01,1.05,5,1
86,NJ,New Jersey,1,Burger King,Central NJ,0,,Before,0,0,4.25,20.5,4.25,15,1.06,0.94,1.1,3,3
86,NJ,New Jersey,1,Burger King,Central NJ,0,,After,1,1,5.05,19,5.05,15,1.05,1.05,1.04,3,3
88,NJ,New Jersey,1,Burger King,Southern NJ,0,0.75,Before,0,0,4.25,23.5,4.25,15,1.06,0.87,0.91,5,5
88,NJ,New Jersey,1,Burger King,Southern NJ,0,0.75,After,1,1,5.05,26.5,5.05,15,1.05,0.87,0.94,5,2
89,NJ,New Jersey,1,Burger King,Central NJ,1,0,Before,0,0,4.25,16,5,16,1.09,0.95,1.04,3,2
89,NJ,New Jersey,1,Burger King,Central NJ,1,0,After,1,1,5.05,24.5,5.5,16,1.11,1.01,1.05,3,3
91,NJ,New Jersey,1,Burger King,Central NJ,1,1,Before,0,0,4.25,23,4.25,17,1.09,0.93,1.04,3,3
91,NJ,New Jersey,1,Burger King,Central NJ,1,1,After,1,1,5.05,19,5.05,17,1.11,1.05,1.05,3,3
92,NJ,New Jersey,1,Burger King,Central NJ,1,1,Before,0,0,4.25,17,4.25,15,1.09,0.95,1.03,3,3
92,NJ,New Jersey,1,Burger King,Central NJ,1,1,After,1,1,5.05,20,5.05,15,1.11,1.01,1.05,3,3
93,NJ,New Jersey,1,Burger King,Northern NJ,1,0.9,Before,0,0,4.25,20.5,4.25,16,,,0.96,,
93,NJ,New Jersey,1,Burger King,Northern NJ,1,0.9,After,1,1,5.05,22.5,5.05,16,1.11,1.05,1.05,4,3
94,NJ,New Jersey,1,KFC,Central NJ,0,0,Before,0,0,4.25,17.5,5,10,1.06,0.8,2.56,,
94,NJ,New Jersey,1,KFC,Central NJ,0,0,After,1,1,5.05,16,5.05,10,1.05,0.79,2.53,3,
95,NJ,New Jersey,1,KFC,Central NJ,0,0.4,Before,0,0,4.25,23.5,4.25,10,1.06,0.8,2.56,4,3
95,NJ,New Jersey,1,KFC,Central NJ,0,0.4,After,1,1,5.05,10,5.05,10,1.05,0.75,2.53,3,3
96,NJ,New Jersey,1,KFC,Northern NJ,0,0.8,Before,0,0,4.25,9.5,4.25,10,1.06,1.01,2.66,3,2
96,NJ,New Jersey,1,KFC,Northern NJ,0,0.8,After,1,1,5.05,12.5,5.05,10.5,1.05,0.94,2.59,4,0
97,NJ,New Jersey,1,KFC,Central NJ,0,0.58,Before,0,0,4.25,10,4.25,10,1.02,0.75,2.56,3,2
97,NJ,New Jersey,1,KFC,Central NJ,0,0.58,After,1,1,5.05,11,5.05,10,1.05,0.8,2.54,3,2
98,NJ,New Jersey,1,KFC,Central NJ,0,0.8,Before,0,0,4.25,14,4.25,10,1.06,0.8,2.56,3,3
98,NJ,New Jersey,1,KFC,Central NJ,0,0.8,After,1,1,5.05,12.5,5.05,10,1.05,0.9,2.53,3,3
99,NJ,New Jersey,1,Roy Rogers,Central NJ,1,0.5,Before,0,0,4.25,85,4.75,24,1.23,,2.3,8,6
99,NJ,New Jersey,1,Roy Rogers,Central NJ,1,0.5,After,1,1,5.05,59,5.05,24,1.22,1.17,2.32,5,2
101,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.8,Before,0,0,4.25,15,4.75,15,1.2,1.18,1.06,6,4
101,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0.8,After,1,1,5.05,19,5.05,15,1.15,1.1,1.05,8,3
102,NJ,New Jersey,1,Roy Rogers,Southern NJ,0,0.15,Before,0,0,4.25,21.5,4.4,16,1.06,0.91,1.07,6,4
102,NJ,New Jersey,1,Roy Rogers,Southern NJ,0,0.15,After,1,1,5.05,15.5,5.05,15,1.07,1.01,1.05,5,5
104,NJ,New Jersey,1,Wendy's,Central NJ,0,0.5,Before,0,0,4.25,53,4.62,11.5,0.95,0.84,0.94,2,2
104,NJ,New Jersey,1,Wendy's,Central NJ,0,0.5,After,1,1,5.05,19,5.05,12.5,1,0.84,0.94,2,2
105,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,Before,0,0,4.25,24,4.25,16.5,0.96,1,1.03,4,2
105,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,After,1,1,5.05,26.5,5.05,16.5,1.05,0.99,1.16,4,3
106,NJ,New Jersey,1,Burger King,Northern NJ,0,0.65,Before,0,0,4.25,20.5,4.25,16,1.06,0.95,0.95,2,1
106,NJ,New Jersey,1,Burger King,Northern NJ,0,0.65,After,1,1,5.05,17.5,5.05,16,1.05,0.95,0.95,2,2
107,NJ,New Jersey,1,Burger King,Northern NJ,1,0.4,Before,0,0,4.25,14.5,4.25,14.5,1.17,0.95,0.95,3,3
107,NJ,New Jersey,1,Burger King,Northern NJ,1,0.4,After,1,1,5.05,20.5,5.05,14,,1.01,1,4,2
108,NJ,New Jersey,1,Burger King,Northern NJ,0,0.06,Before,0,0,4.25,25,4.25,17,1.27,1.01,1.06,3,3
108,NJ,New Jersey,1,Burger King,Northern NJ,0,0.06,After,1,1,5.05,28,5.05,17,1.37,1.02,1.05,3,3
111,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.55,Before,0,0,4.25,27,4.25,16,1.17,1.06,1.01,5,5
111,NJ,New Jersey,1,Roy Rogers,Northern NJ,0,0.55,After,1,1,5.05,30.25,5.05,16,1.16,1.16,1,5,4
112,NJ,New Jersey,1,Wendy's,Northern NJ,0,0.8,Before,0,0,4.25,20,5,14,1.06,0.98,1.06,2,2
112,NJ,New Jersey,1,Wendy's,Northern NJ,0,0.8,After,1,1,5.05,23.5,5.05,12.5,1.11,1.09,2.07,,
113,NJ,New Jersey,1,Burger King,Central NJ,0,,Before,0,0,4.25,15,,16,1.06,0.95,1,4,
113,NJ,New Jersey,1,Burger King,Central NJ,0,,After,1,1,5.05,27,5.05,16,1.05,0.9,0.98,3,2
114,NJ,New Jersey,1,Burger King,Central NJ,0,0.5,Before,0,0,4.25,22.5,4.75,16,1.07,0.95,0.95,3,
114,NJ,New Jersey,1,Burger King,Central NJ,0,0.5,After,1,1,5.05,44,5.25,16.5,1.11,0.94,0.94,3,3
115,NJ,New Jersey,1,Burger King,Central NJ,0,0.25,Before,0,0,4.25,36.5,4.75,17,1.06,0.95,1.06,4,3
115,NJ,New Jersey,1,Burger King,Central NJ,0,0.25,After,1,1,5.05,17.5,5.05,17,1.05,0.95,1.01,4,4
116,NJ,New Jersey,1,Burger King,Central NJ,0,0.9,Before,0,0,4.25,17.25,4.25,13,1.49,1.02,1.11,7,3
116,NJ,New Jersey,1,Burger King,Central NJ,0,0.9,After,1,1,5.05,31,5.05,13,1.39,0.95,1.21,8,2
118,NJ,New Jersey,1,Burger King,Northern NJ,0,0.7,Before,0,0,4.25,21.5,4.25,15,1.06,0.95,1.01,4,2
118,NJ,New Jersey,1,Burger King,Northern NJ,0,0.7,After,1,1,5.05,31,5.05,15,1.05,0.94,1,4,2
119,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,Before,0,0,4.25,24.5,4.75,16.5,1.06,0.91,0.95,3,3
119,NJ,New Jersey,1,Burger King,Northern NJ,0,0.5,After,1,1,5.05,28.5,5.05,17.5,1.05,0.89,0.95,3,3
120,NJ,New Jersey,1,Burger King,Central NJ,1,,Before,0,0,4.25,19,4.5,16,1.13,0.98,1.04,3,2
120,NJ,New Jersey,1,Burger King,Central NJ,1,,After,1,1,5.05,19,5.05,16,1.05,1.05,1.05,3,2
122,NJ,New Jersey,1,Burger King,Northern NJ,0,0.7,Before,0,0,4.25,25,4.25,12.5,,1.12,1.12,5,3
122,NJ,New Jersey,1,Burger King,Northern NJ,0,0.7,After,1,1,5.05,41,5.05,12.5,1.15,0.94,1.15,6,4
123,NJ,New Jersey,1,Burger King,Central NJ,0,0.28,Before,0,0,4.25,15,,14.5,1.06,0.95,1.01,2,1
123,NJ,New Jersey,1,Burger King,Central NJ,0,0.28,After,1,1,5.05,21.5,5.05,14,1.05,0.94,1,3,2
124,NJ,New Jersey,1,Burger King,Central NJ,0,0.14,Before,0,0,4.25,16,4.25,15,1.06,0.91,1.04,2,2
124,NJ,New Jersey,1,Burger King,Central NJ,0,0.14,After,1,1,5.05,28,5.05,15,1.16,0.94,1.12,2,2
125,NJ,New Jersey,1,KFC,Central NJ,0,1,Before,0,0,4.25,19,4.5,12.5,0.91,0.85,2.34,3,2
125,NJ,New Jersey,1,KFC,Central NJ,0,1,After,1,1,5.05,9.5,5.05,12,1.01,1.01,2.49,4,3
128,NJ,New Jersey,1,KFC,Central NJ,1,,Before,0,0,4.25,12.25,5,11,1.06,0.85,2.34,4,2
128,NJ,New Jersey,1,KFC,Central NJ,1,,After,1,1,5.05,13,5.05,11,1.05,0.79,2.32,3,2
129,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0,Before,0,0,4.25,33,5.25,16,1.1,1,0.74,6,4
129,NJ,New Jersey,1,Roy Rogers,Central NJ,0,0,After,1,1,5.05,20,5.05,16,1.11,1,0.89,4,3
130,NJ,New Jersey,1,Roy Rogers,Central NJ,1,0.15,Before,0,0,4.25,22.75,4.5,18,1.12,1.07,1,4,3
130,NJ,New Jersey,1,Roy Rogers,Central NJ,1,0.15,After,1,1,5.05,25,5.05,16,1.11,1.06,1.05,5,3
